,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Darius Garland,39:53,10,18,.556,1,4,.250,5,5,1.000,2,1,3,9,0,0,0,1,26,+8
1,Donovan Mitchell,37:02,12,24,.500,5,10,.500,6,9,.667,2,5,7,6,1,0,4,3,35,0
2,Evan Mobley,36:30,8,12,.667,0,0,,0,0,,1,4,5,2,1,1,4,5,16,+13
3,Max Strus,31:27,5,10,.500,4,8,.500,3,4,.750,1,4,5,6,1,0,1,5,17,+4
4,Jarrett Allen,19:20,4,5,.800,0,0,,0,0,,2,9,11,2,1,0,4,5,8,+2
5,player,,,,,,,,,,,,,,,,,,,,
6,Isaac Okoro,28:44,0,4,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,1,0,+16
7,Georges Niang,27:31,4,7,.571,2,5,.400,0,0,,1,4,5,3,0,0,2,4,10,+14
8,Dean Wade,13:55,3,6,.500,2,5,.400,0,0,,1,4,5,0,0,0,0,2,8,-4
9,Tristan Thompson,5:36,0,0,,0,0,,1,2,.500,0,3,3,0,0,1,0,1,1,-3
10,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
