,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jalen Johnson,37:05,3,14,.214,1,3,.333,2,3,.667,1,6,7,5,0,1,1,4,9,-7
1,Trae Young,35:43,8,14,.571,3,7,.429,6,6,1.000,0,2,2,12,2,0,5,5,25,-6
2,Dejounte Murray,34:18,7,18,.389,3,7,.429,4,5,.800,1,4,5,7,0,0,2,1,21,-7
3,Onyeka Okongwu,34:18,8,10,.800,2,2,1.000,0,0,,4,1,5,0,0,1,2,4,18,-7
4,Saddiq Bey,33:04,5,8,.625,3,6,.500,5,5,1.000,3,2,5,0,1,0,1,1,18,-7
5,player,,,,,,,,,,,,,,,,,,,,
6,Bogdan Bogdanović,26:34,6,12,.500,4,8,.500,0,0,,1,2,3,6,1,0,0,4,16,+4
7,De'Andre Hunter,18:51,10,12,.833,3,5,.600,4,5,.800,2,5,7,3,0,0,0,2,27,+3
8,Bruno Fernando,13:42,3,6,.500,0,0,,1,3,.333,1,3,4,1,0,2,0,1,7,+2
9,Wesley Matthews,6:25,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,3,0
10,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,,,,,
11,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Garrison Mathews,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,
