,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jerami Grant,39:23,.687,.647,.294,.353,0.0,18.3,8.6,13.2,0.0,0.0,16.9,23.8,124,129,-3.8
1,Scoot Henderson,36:41,.503,.500,.238,.095,11.6,9.8,10.8,39.7,1.3,2.1,15.5,28.0,118,127,-2.5
2,Malcolm Brogdon,36:36,.683,.639,.389,.222,0.0,3.3,1.5,25.4,1.3,0.0,4.8,22.5,152,131,3.2
3,Toumani Camara,36:26,.542,.542,.250,.000,11.7,23.1,17.0,6.6,3.9,0.0,20.0,16.3,107,120,-4.2
4,Moses Brown,3:41,,,,,0.0,100.0,61.3,0.0,0.0,0.0,,0.0,0,97,-4.4
5,player,,,,,,,,,,,,,,,,
6,Jabari Walker,29:45,.748,.682,.182,1.182,21.5,12.1,17.1,4.4,1.6,2.6,5.6,23.7,161,126,2.8
7,Matisse Thybulle,27:27,.583,.583,.667,.000,0.0,4.4,2.1,0.0,1.7,5.7,14.3,10.1,102,126,-5.1
8,Skylar Mays,19:41,.550,.550,.100,.000,5.4,6.1,5.7,13.6,2.4,0.0,0.0,20.2,133,128,-2.4
9,Ibou Badji,10:20,1.136,,,,10.3,11.6,10.9,9.7,0.0,15.2,0.0,3.4,242,121,2.1
10,Justin Minaya,Did Not Play,,,,,,,,,,,,,,,
11,Kris Murray,Did Not Play,,,,,,,,,,,,,,,
12,Rayan Rupert,Did Not Play,,,,,,,,,,,,,,,
13,Ish Wainright,Did Not Play,,,,,,,,,,,,,,,
