,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bam Adebayo,36:29,.472,.455,.000,.136,9.4,9.2,9.3,28.4,1.4,2.3,14.6,32.7,96,120,-3.1
1,Jimmy Butler,34:20,.512,.458,.250,.500,6.7,9.8,8.2,20.6,0.0,0.0,6.4,19.9,116,125,-2.1
2,Tyler Herro,33:05,.633,.583,.333,.222,3.5,6.7,5.1,11.0,3.0,0.0,9.2,28.7,118,119,3.6
3,Kevin Love,23:37,.643,.643,1.000,.000,0.0,47.3,23.9,23.3,2.1,0.0,0.0,12.9,142,109,10.2
4,Caleb Martin,22:04,.200,.200,.200,.000,5.2,10.1,7.7,16.8,4.5,0.0,16.7,11.9,70,114,-4.5
5,player,,,,,,,,,,,,,,,,
6,Jaime Jaquez Jr.,30:08,.450,.375,.125,.250,3.8,7.4,5.6,0.0,3.3,5.7,25.3,17.2,72,114,-8.0
7,Josh Richardson,25:56,.888,.833,.667,.500,0.0,17.2,8.7,16.5,0.0,0.0,12.0,14.0,158,123,4.7
8,Duncan Robinson,22:10,.778,.778,.889,.000,0.0,25.2,12.7,21.5,2.3,0.0,18.2,21.7,122,115,8.1
9,Haywood Highsmith,12:11,,,,,9.4,0.0,4.6,9.6,4.1,7.0,100.0,3.6,83,113,-0.7
10,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,
11,R.J. Hampton,Did Not Play,,,,,,,,,,,,,,,
12,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,
13,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,
