,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Desmond Bane,36:20,13,25,.520,5,14,.357,6,6,1.000,0,6,6,6,1,1,2,0,37,-5
1,Ja Morant,36:07,14,25,.560,1,3,.333,1,1,1.000,0,6,6,11,1,1,3,1,30,+2
2,Vince Williams Jr.,35:07,2,6,.333,1,5,.200,0,0,,2,9,11,1,2,0,1,4,5,+13
3,Bismack Biyombo,29:04,3,6,.500,0,0,,2,6,.333,7,4,11,3,1,0,1,2,8,+4
4,Jaren Jackson Jr.,23:52,8,10,.800,1,2,.500,3,4,.750,2,0,2,0,0,0,2,5,20,0
5,player,,,,,,,,,,,,,,,,,,,,
6,Santi Aldama,27:06,2,7,.286,1,4,.250,1,2,.500,0,4,4,3,0,1,1,0,6,+3
7,Ziaire Williams,23:28,3,8,.375,1,3,.333,1,3,.333,1,2,3,3,0,0,1,3,8,+6
8,Xavier Tillman Sr.,15:37,3,7,.429,0,0,,0,0,,2,1,3,0,1,2,0,0,6,+4
9,John Konchar,13:19,2,3,.667,1,2,.500,0,0,,1,4,5,2,0,2,0,1,5,+3
10,Jacob Gilyard,Did Not Play,,,,,,,,,,,,,,,,,,,
11,GG Jackson II,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Jake LaRavia,Did Not Play,,,,,,,,,,,,,,,,,,,
13,David Roddy,Did Not Play,,,,,,,,,,,,,,,,,,,
