,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Duncan Robinson,38:37,.697,.625,.438,.375,2.5,12.1,6.8,17.1,0.0,2.6,0.0,21.8,149,121,5.2
1,Jimmy Butler,36:31,.529,.393,.214,.643,5.3,12.8,8.7,16.2,0.0,2.8,10.0,24.7,113,121,-4.8
2,Bam Adebayo,34:17,.541,.500,.000,.250,11.2,23.9,16.9,33.6,4.4,0.0,0.0,29.3,129,109,8.5
3,Haywood Highsmith,26:09,.000,.000,.750,.000,3.7,13.4,8.1,4.7,0.0,0.0,0.0,6.9,39,122,-15.9
4,Josh Richardson,26:08,.761,.714,.571,.286,0.0,13.4,6.1,23.2,1.9,0.0,0.0,13.6,163,118,4.6
5,player,,,,,,,,,,,,,,,,
6,Jaime Jaquez Jr.,32:16,.506,.450,.200,.200,3.0,18.1,9.8,13.5,4.6,3.2,8.4,16.6,108,108,0.1
7,Dru Smith,26:50,.607,.556,.556,.222,7.2,8.7,7.9,16.9,0.0,0.0,9.2,18.3,127,124,-3.3
8,Kevin Love,14:10,.615,.500,.875,.500,0.0,16.5,7.4,0.0,0.0,0.0,0.0,31.1,127,121,-1.7
9,Thomas Bryant,5:00,1.000,1.000,.000,.000,0.0,0.0,0.0,32.7,0.0,0.0,0.0,9.0,208,126,7.8
10,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,
11,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,
12,Cole Swider,Did Not Play,,,,,,,,,,,,,,,
