,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bam Adebayo,39:21,9,12,.750,0,0,,8,8,1.000,4,13,17,4,2,2,3,2,26,-5
1,Jaime Jaquez Jr.,38:28,8,17,.471,2,7,.286,2,2,1.000,1,2,3,4,1,0,3,3,20,+2
2,Haywood Highsmith,33:43,3,13,.231,0,5,.000,5,7,.714,1,5,6,5,2,1,1,2,11,+10
3,Kyle Lowry,33:26,4,8,.500,4,6,.667,5,5,1.000,0,2,2,4,1,0,3,1,17,+10
4,Duncan Robinson,30:14,5,15,.333,1,10,.100,0,0,,0,3,3,2,1,0,1,3,11,-1
5,player,,,,,,,,,,,,,,,,,,,,
6,Dru Smith,28:01,4,8,.500,1,3,.333,0,0,,1,1,2,2,3,1,2,3,9,-1
7,Josh Richardson,22:45,6,7,.857,3,4,.750,1,1,1.000,0,2,2,0,0,0,1,0,16,+15
8,Kevin Love,13:37,2,4,.500,1,3,.333,2,2,1.000,0,4,4,2,0,0,1,0,7,+10
9,Jamal Cain,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
10,Thomas Bryant,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Cole Swider,Did Not Play,,,,,,,,,,,,,,,,,,,
