,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Victor Wembanyama,35:09,.545,.472,.333,.278,5.6,25.2,14.1,16.0,1.3,7.0,22.9,28.8,96,108,-2.1
1,Keldon Johnson,34:04,.724,.731,.538,.385,11.5,29.7,19.4,16.7,2.7,0.0,16.5,20.6,130,108,7.6
2,Jeremy Sochan,32:58,.500,.500,.286,.000,8.9,11.5,10.0,14.3,0.0,0.0,22.2,10.5,107,117,-4.9
3,Zach Collins,30:30,.233,.167,.583,.167,9.6,20.7,14.5,22.6,0.0,0.0,18.9,20.1,73,116,-11.8
4,Malaki Branham,18:50,.333,.333,.556,.000,0.0,0.0,0.0,6.8,2.4,0.0,10.0,20.5,71,113,-13.0
5,player,,,,,,,,,,,,,,,,
6,Devin Vassell,27:21,.632,.632,.526,.000,3.6,13.9,8.1,6.4,1.7,0.0,9.5,29.7,114,113,3.9
7,Doug McDermott,19:16,.583,.583,.500,.000,5.1,0.0,2.9,26.6,7.0,0.0,0.0,12.0,147,103,11.2
8,Cedi Osman,17:52,.500,.500,.545,.000,5.5,0.0,3.1,0.0,0.0,0.0,8.3,25.9,97,119,-9.8
9,Tre Jones,16:57,.700,.700,.200,.000,0.0,37.3,16.3,15.5,5.3,0.0,16.7,13.7,123,101,4.5
10,Charles Bassey,7:03,,,,,0.0,0.0,0.0,30.3,0.0,17.5,,0.0,227,109,7.9
11,Julian Champagnie,Did Not Play,,,,,,,,,,,,,,,
12,Devonte' Graham,Did Not Play,,,,,,,,,,,,,,,
13,Sandro Mamukelashvili,Did Not Play,,,,,,,,,,,,,,,
