,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tyrese Maxey,42:04,9,24,.375,1,8,.125,6,6,1.000,1,0,1,9,3,1,3,0,25,-14
1,Kelly Oubre Jr.,37:28,8,18,.444,1,6,.167,7,8,.875,1,3,4,4,1,0,0,5,24,+1
2,Marcus Morris,28:08,5,12,.417,3,7,.429,2,2,1.000,2,4,6,1,2,2,0,2,15,-2
3,Nicolas Batum,26:04,1,6,.167,0,5,.000,0,0,,1,3,4,4,4,2,2,3,2,-13
4,Paul Reed,24:47,7,12,.583,0,0,,2,4,.500,3,3,6,1,0,0,1,1,16,-7
5,player,,,,,,,,,,,,,,,,,,,,
6,Patrick Beverley,34:01,5,13,.385,2,6,.333,0,0,,2,2,4,7,0,0,0,0,12,-2
7,KJ Martin,17:11,4,7,.571,0,1,.000,1,2,.500,1,1,2,1,1,0,0,4,9,-1
8,Mo Bamba,16:57,3,9,.333,0,2,.000,0,1,.000,3,2,5,1,1,1,0,4,6,-2
9,Jaden Springer,13:20,0,3,.000,0,3,.000,0,0,,1,1,2,2,0,0,0,1,0,-15
10,Ricky Council IV,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Robert Covington,Did Not Dress,,,,,,,,,,,,,,,,,,,
12,Joel Embiid,Did Not Dress,,,,,,,,,,,,,,,,,,,
13,Danuel House Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Terquavion Smith,Did Not Play,,,,,,,,,,,,,,,,,,,
