,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jarrett Allen,38:03,6,9,.667,0,0,,0,0,,6,4,10,2,0,2,1,3,12,-3
1,Darius Garland,36:58,6,18,.333,2,8,.250,1,1,1.000,1,3,4,7,1,0,8,0,15,+2
2,Max Strus,35:42,4,11,.364,1,6,.167,0,0,,0,3,3,3,2,0,2,6,9,-10
3,Evan Mobley,33:49,9,14,.643,0,1,.000,2,2,1.000,2,6,8,3,2,0,3,1,20,+3
4,Donovan Mitchell,33:30,7,20,.350,1,9,.111,8,8,1.000,3,4,7,6,4,0,1,1,23,+1
5,player,,,,,,,,,,,,,,,,,,,,
6,Caris LeVert,26:06,2,9,.222,1,4,.250,0,0,,1,1,2,2,0,0,2,3,5,-17
7,Georges Niang,18:58,3,6,.500,1,3,.333,1,1,1.000,1,0,1,2,2,0,0,0,8,-4
8,Isaac Okoro,16:54,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-12
9,Damian Jones,Did Not Play,,,,,,,,,,,,,,,,,,,
10,Sam Merrill,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Craig Porter Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Tristan Thompson,Did Not Play,,,,,,,,,,,,,,,,,,,
