,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Duncan Robinson,38:37,8,16,.500,4,7,.571,6,6,1.000,1,4,5,4,0,1,0,1,26,+22
1,Jimmy Butler,36:31,5,14,.357,1,3,.333,8,9,.889,2,4,6,4,0,1,2,1,19,+14
2,Bam Adebayo,34:17,10,20,.500,0,0,,4,5,.800,4,7,11,6,3,0,0,0,24,-10
3,Haywood Highsmith,26:09,0,4,.000,0,3,.000,0,0,,1,3,4,1,0,0,0,3,0,-20
4,Josh Richardson,26:08,4,7,.571,2,4,.500,2,2,1.000,0,3,3,4,1,0,0,2,12,+1
5,player,,,,,,,,,,,,,,,,,,,,
6,Jaime Jaquez Jr.,32:16,4,10,.400,1,2,.500,2,2,1.000,1,5,6,3,3,1,1,1,11,+10
7,Dru Smith,26:50,4,9,.444,2,5,.400,2,2,1.000,2,2,4,3,0,0,1,2,12,+5
8,Kevin Love,14:10,3,8,.375,2,7,.286,4,4,1.000,0,2,2,0,0,0,0,2,12,-6
9,Thomas Bryant,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+9
10,Nikola Jović,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Orlando Robinson,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Cole Swider,Did Not Play,,,,,,,,,,,,,,,,,,,
