No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan
55,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us,7,UNLV
1,Jaden Hardy,SG,6-4,198,"July 5, 2002",us,1,
77,Luka Dončić,PG,6-7,230,"February 28, 1999",si,5,
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca,9,Stanford
8,Josh Green,SG,6-5,200,"November 16, 2000",au,3,Arizona
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us,R,Duke
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au,12,Duke
0,Dante Exum,PG,6-5,214,"July 13, 1995",au,6,
18,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",ca,R,"Clemson, Marquette"
9,A.J. Lawson (TW),SG,6-6,179,"July 15, 2000",ca,1,South Carolina
42,Maxi Kleber,C,6-10,240,"January 29, 1992",de,6,
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us,12,Kansas
0,Brandon Williams (TW),PG,6-2,190,"November 22, 1999",us,1,Arizona
13,Greg Brown III (TW),PF,6-7,205,"September 1, 2001",us,2,Texas
21,Daniel Gafford,PF,6-10,234,"October 1, 1998",us,4,Arkansas
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us,4,Kentucky
