Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jalen Brunson,27,54,54,36.0,9.8,20.4,0.479,2.6,6.5,0.407,7.1,13.9,0.513,0.544,5.4,6.4,0.843,0.6,3.2,3.8,6.6,0.9,0.2,2.5,2.0,27.6
2,OG Anunoby,26,14,14,35.7,5.8,11.2,0.516,1.8,4.6,0.391,4.0,6.6,0.602,0.596,2.3,2.7,0.842,1.1,3.6,4.6,1.5,1.8,1.1,1.4,2.4,15.6
3,Julius Randle,29,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0
4,Josh Hart,28,56,17,30.3,3.1,7.3,0.431,0.9,3.0,0.312,2.2,4.3,0.517,0.496,0.9,1.1,0.836,1.3,5.9,7.2,3.3,0.8,0.3,1.3,1.9,8.1
5,RJ Barrett,23,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2
6,Mitchell Robinson,25,21,21,29.2,2.8,4.7,0.592,0.0,0.0,,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2
7,Precious Achiuwa,24,25,11,26.2,3.6,6.8,0.538,0.3,1.1,0.25,3.4,5.6,0.596,0.559,0.8,1.2,0.69,3.3,4.2,7.5,1.0,0.6,1.0,1.0,2.1,8.4
8,Donte DiVincenzo,27,56,38,25.3,4.8,10.7,0.454,3.1,7.4,0.415,1.8,3.3,0.541,0.598,0.9,1.3,0.729,0.8,2.5,3.3,2.4,1.2,0.4,1.2,2.0,13.7
9,Isaiah Hartenstein,25,52,26,25.3,2.8,4.5,0.621,0.0,0.1,0.333,2.8,4.4,0.624,0.623,1.4,2.0,0.718,3.4,5.1,8.5,2.0,1.1,1.1,1.2,2.9,7.0
10,Bojan Bogdanović,34,4,0,24.5,5.0,10.8,0.465,2.5,5.3,0.476,2.5,5.5,0.455,0.581,1.5,2.5,0.6,0.0,2.3,2.3,0.3,1.0,0.3,0.5,2.3,14.0
11,Immanuel Quickley,24,30,0,24.0,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0
12,Quentin Grimes,23,45,18,20.2,2.5,6.4,0.395,1.7,4.7,0.363,0.8,1.6,0.486,0.53,0.5,0.8,0.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3
13,Alec Burks,32,5,1,20.2,3.6,10.8,0.333,2.0,5.8,0.345,1.6,5.0,0.32,0.426,1.6,2.2,0.727,0.4,1.6,2.0,0.8,0.0,0.0,1.4,1.2,10.8
14,Evan Fournier,31,3,0,13.0,1.3,6.7,0.2,0.7,5.0,0.133,0.7,1.7,0.4,0.25,0.7,0.7,1.0,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0
15,Miles McBride,23,44,3,12.6,2.2,5.0,0.443,1.1,2.8,0.402,1.1,2.2,0.495,0.555,0.5,0.6,0.8,0.3,0.7,1.0,1.0,0.6,0.1,0.4,1.1,6.0
16,Jericho Sims,25,30,9,11.4,0.9,1.2,0.703,0.0,0.0,,0.9,1.2,0.703,0.703,0.3,0.4,0.667,1.0,1.8,2.8,0.4,0.1,0.4,0.3,0.9,2.0
17,Taj Gibson,38,16,1,10.3,0.4,1.4,0.304,0.0,0.4,0.0,0.4,1.1,0.412,0.304,0.1,0.1,1.0,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0
18,Charlie Brown Jr.,26,6,0,5.5,0.3,1.5,0.222,0.3,1.0,0.333,0.0,0.5,0.0,0.333,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.3,0.3,0.8,1.0
19,Jacob Toppin,23,7,0,4.9,0.7,1.3,0.556,0.1,0.6,0.25,0.6,0.7,0.8,0.611,0.3,0.3,1.0,0.4,0.4,0.9,0.3,0.0,0.1,0.1,0.4,1.9
20,Malachi Flynn,25,14,0,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.4,0.7,0.5,0.478,0.6,0.8,0.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2
21,DaQuan Jeffries,26,12,0,2.6,0.4,1.1,0.385,0.1,0.5,0.167,0.3,0.6,0.571,0.423,0.0,0.2,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.1,0.2,0.9
22,Ryan Arcidiacono,29,20,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0
23,Dylan Windler,27,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0
24,Dmytro Skapintsev,25,2,0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
