No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
5,Kevon Looney,C,6-9,222,"February 6, 1996",us,8,UCLA
0,Jonathan Kuminga,PF,6-8,210,"October 6, 2002",cd,2,
20,Dario Šarić,C,6-10,225,"April 8, 1994",hr,6,
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,14,Davidson
11,Klay Thompson,SF,6-6,215,"February 8, 1990",us,10,Washington State
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,9,Kansas
2,Brandin Podziemski,SG,6-5,205,"February 25, 2003",us,R,"Illinois, Santa Clara"
32,Trayce Jackson-Davis,PF,6-9,245,"February 22, 2000",us,R,Indiana
4,Moses Moody,SG,6-6,205,"May 31, 2002",us,2,Arkansas
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,11,Michigan State
3,Chris Paul,PG,6-0,175,"May 6, 1985",us,18,Wake Forest
0,Gary Payton II,SG,6-2,190,"December 1, 1992",us,7,Oregon State
25,Lester Quinones,SG,6-5,208,"November 16, 2000",us,1,Memphis
15,Gui Santos,PF,6-8,209,"June 22, 2002",br,R,
18,Jerome Robinson (TW),SG,6-4,190,"February 22, 1997",us,3,Boston College
12,Usman Garuba (TW),PF,6-8,220,"March 9, 2002",es,2,
61,Pat Spencer (TW),PG,6-3,205,"July 4, 1996",us,R,"Loyola (MD), Northwestern"
