No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
11.0,Naz Reid,C,6-9,264,"August 26, 1999",us,4,LSU
9.0,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca,4,Virginia Tech
1.0,Kyle Anderson,PF,6-9,230,"September 20, 1993",us,9,UCLA
32.0,Karl-Anthony Towns,PF,7-0,248,"November 15, 1995",us,8,Kentucky
27.0,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,10,
5.0,Anthony Edwards,SG,6-4,225,"August 5, 2001",us,3,Georgia
10.0,Mike Conley,PG,6-0,175,"October 11, 1987",us,16,Ohio State
3.0,Jaden McDaniels,SF,6-9,185,"September 29, 2000",us,3,Washington
6.0,Jordan McLaughlin,PG,6-0,185,"April 9, 1996",us,4,USC
8.0,Josh Minott,SF,6-8,205,"November 25, 2002",us,1,Memphis
55.0,Luka Garza (TW),C,6-10,235,"December 27, 1998",us,2,Iowa
7.0,Wendell Moore Jr.,SG,6-5,213,"September 18, 2001",us,1,Duke
12.0,Daishen Nix (TW),PG,6-5,224,"February 13, 2002",us,2,
33.0,Leonard Miller,SF,6-10,210,"November 26, 2003",ca,R,
23.0,Monte Morris,PG,6-2,183,"June 27, 1995",us,6,Iowa State
44.0,Justin Jackson,SF,6-8,220,"March 28, 1995",us,6,UNC
,Jaylen Clark (TW),SG,6-5,205,"October 13, 2001",us,R,UCLA
