No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
10.0,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us,1,Baylor
16.0,Cedi Osman,SF,6-7,230,"April 8, 1995",mk,6,
3.0,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,4,Kentucky
24.0,Devin Vassell,SG,6-5,200,"August 23, 2000",us,3,Florida State
33.0,Tre Jones,PG,6-1,185,"January 8, 2000",us,3,Duke
22.0,Malaki Branham,PG,6-4,180,"May 12, 2003",us,1,Ohio State
1.0,Victor Wembanyama,C,7-4,209,"January 4, 2004",fr,R,
30.0,Julian Champagnie,SF,6-8,220,"June 29, 2001",us,1,St. John's
23.0,Zach Collins,C,6-11,250,"November 19, 1997",us,5,Gonzaga
14.0,Blake Wesley,SG,6-5,185,"March 16, 2003",us,1,Notre Dame
54.0,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us,2,Seton Hall
26.0,Dominick Barlow (TW),PF,6-9,221,"May 26, 2003",us,1,
28.0,Charles Bassey,C,6-10,235,"October 28, 2000",ng,2,Western Kentucky
4.0,Devonte' Graham,PG,6-1,195,"February 22, 1995",us,5,Kansas
25.0,Sidy Cissoko,SF,6-8,200,"April 2, 2004",fr,R,
29.0,Mamadi Diakite (TW),PF,6-9,228,"January 21, 1997",gn,3,Virginia
,David Duke Jr. (TW),SG,6-5,205,"October 13, 1999",us,2,Providence
,Marcus Morris,PF,6-8,218,"September 2, 1989",us,12,Kansas
